       PADS LIBRARY (RES Part Types) DIRECTORY LISTING


Library: RES
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Part Name                              |CCC P/N |VALUE  |MFG #1                    |MFG #1 P/N         |PCB Decal           |DESCRIPTION                                                          |MFG #2    |MFG #2 P/N       |ROHS |TOLERANCE |POWER RATING |PACKAGE                                                            |HEIGHT 
|RES-100E-R0805-RNCP0805FTD100R         |        |100E   |STACKPOLE ELECTRONICS INC |RNCP0805FTD100R    |R0805               |RESISTOR,100E,0.25,1%,R0805                                          |NA        |NA               |Yes  |1%        |0.25         |R0805                                                              |0.65mm 
|RES-100E-R1206-RC1206JR-07100RL        |        |100E   |YAGEO                     |RC1206JR-07100RL   |R1206               |RESISTOR,100E,0.25,5%,R1206                                          |KOA SPEER |RK73H2BTTD1000F  |Yes  |5%        |0.25         |R1206                                                              |0.65mm 
|RES-100E-R2512-CRCW2512100RJNEG        |        |100E   |VISHAY                    |CRCW2512100RJNEG   |R2512               |RESISTOR,100E,1,5%,R2512                                             |KOA SPEER |RK73H3ATTE1000F  |Yes  |5%        |1            |R2512                                                              |0.70mm 
|RES-100K-R0603-RC0603FR-07100KL        |        |100K   |YAGEO                     |RC0603FR-07100KL   |R0603               |RESISTOR,100K,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD1003F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-100K-R0805-RC0805FR-07100KL        |        |100K   |YAGEO                     |RC0805FR-07100KL   |R0805               |RESISTOR,100K,0.125,1%,R0805                                         |KOA SPEER |RK73H2ATTE1003F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-100M-R0805-HMC0805JT100M           |        |100M   |STACKPOLE ELECTRONICS INC |HMC0805JT100M      |R0805               |RESISTOR,100M,0.125,5%,R0805                                         |VISHAY    |RCA0805100MFKTA  |Yes  |5%        |0.125        |R0805                                                              |0.65mm 
|RES-10E-R0603-RC0603JR-0710RL          |        |10E    |YAGEO                     |RC0603JR-0710RL    |R0603               |RESISTOR,10E,0.1,5%,R0603                                            |KOA SPEER |RK73H1JTTD10R0F  |Yes  |5%        |0.1          |R0603                                                              |0.55mm 
|RES-10E-R0805-CRT0805-BY-10R0ELF       |        |10E    |BOURNS                    |CRT0805-BY-10R0ELF |R0805               |RESISTOR,10E,0.125,0.1%,R0805                                        |NA        |NA               |Yes  |0.1%      |0.125        |R0805                                                              |0.65mm 
|RES-10E-R0805-RC0805FR-0710RL          |        |10E    |YAGEO                     |RC0805FR-07120KL   |R0805               |RESISTOR,10E,0.125,1%,R0805                                          |KOA SPEER |RK73H2ALTDD10R0F |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-10K-R0603-RC0603FR-0710KL          |        |10K    |YAGEO                     |RC0603FR-0710KL    |R0603               |RESISTOR,10K,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD1002F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-10K-R0805-RC0805FR-0710KL          |        |10K    |YAGEO                     |RC0805FR-0710KL    |R0805               |RESISTOR,10K,0.125,1%,R0805                                          |KOA SPEER |RK73H2ATTD1002F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-10K-R0805-RNCP0805FTD10K0          |        |10K    |STACKPOLE ELECTRONICS INC |RNCP0805FTD10K0    |R0805               |RESISTOR,10K,0.25,1%,R0805                                           |NA        |NA               |Yes  |1%        |0.25         |R0805                                                              |0.65mm 
|RES-10K-R1210-ERJ-14NF1002U            |        |10K    |PANASONIC - ECG           |ERJ-14NF1002U      |R1210               |RESISTOR,10K,0.5,1%,R1210                                            |KOA SPEER |RK73H2ETTD1002F  |Yes  |1%        |0.5          |R1210                                                              |0.70mm 
|RES-10M-R0603-RC0603FR-0710ML          |        |10M    |YAGEO                     |RC0603FR-0710ML    |R0603               |RESISTOR,10M,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD1005F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-10M-R0805-RK73B2ATTD106J           |        |10M    |KOA SPEER                 |RK73B2ATTD106J     |R0805               |RESISTOR,10M,0.125,5%,R0805                                          |NA        |NA               |Yes  |5%        |0.125        |R0805                                                              |0.50mm 
|RES-118K-R0603-RC0603FR-07118KL        |        |118K   |YAGEO                     |RC0603FR-07118KL   |R0603               |RESISTOR,118K,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD1183F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-11K-R0603-RC0603FR-0711KL          |        |11K    |YAGEO                     |RC0603FR-0711KL    |R0603               |RESISTOR,11K,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD1102F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-11K-R0805-RC0805FR-0711KL          |        |11K    |YAGEO                     |RC0805FR-0711KL    |R0805               |RESISTOR,11K,0.125,1%,R0805                                          |KOA SPEER |RK73H2ATTD1102F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-12.1K-R0603-RC0603FR-0712K1L       |        |12.1K  |YAGEO                     |RC0603FR-0712K1L   |R0603               |RESISTOR,12.1K,0.1,1%,R0603                                          |KOA SPEER |RK73H1JTTD1212F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-120E-R0603-RC0603FR-07120RL        |        |120E   |YAGEO                     |RC0603FR-07120RL   |R0603               |RESISTOR,120E,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD1200F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-120E-R0805-ESR10EZPJ121            |        |120E   |ROHM SEMICONDUCTOR        |ESR10EZPJ121       |R0805               |RESISTOR,120E,0.25,5%,R0805                                          |NA        |NA               |Yes  |5%        |0.25         |R0805                                                              |0.65mm 
|RES-120E-R0805-RC0805JR-07120RL        |        |120E   |YAGEO                     |RC0805JR-07120RL   |R0805               |RESISTOR,120E,0.125,5%,R0805                                         |KOA SPEER |RK73H2ATTDD1200F |Yes  |5%        |0.125        |R0805                                                              |0.60mm 
|RES-120K-R0805-RC0805FR-07120KL        |        |120K   |YAGEO                     |RC0805FR-07120KL   |R0805               |RESISTOR,120K,0.125,1%,R0805                                         |KOA SPEER |RK73H2ATTD1203F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-12K-R0603-RC0603FR-0712KL          |        |12K    |YAGEO                     |RC0603FR-0712KL    |R0603               |RESISTOR,12K,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD1202F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-130E-R0805-ESR10EZPJ131            |        |130E   |ROHM SEMICONDUCTOR        |ESR10EZPJ131       |R0805               |RESISTOR,130E,0.25,5%,R0805                                          |NA        |NA               |Yes  |5%        |0.25         |R0805                                                              |0.65mm 
|RES-130K-R0603-RC0603FR-07130KL        |        |130K   |YAGEO                     |RC0603FR-07130KL   |R0603               |RESISTOR,130K,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD1303F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-137K-R0603-RC0603FR-07137KL        |        |137K   |YAGEO                     |RC0603FR-07137KL   |R0603               |RESISTOR,137K,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD1373F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-13K-R0603-RC0603FR-0713KL          |        |13K    |YAGEO                     |RC0603FR-0713KL    |R0603               |RESISTOR,13K,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD1302F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-143K-R0603-RC0603FR-07143KL        |        |143K   |YAGEO                     |RC0603FR-07143KL   |R0603               |RESISTOR,143K,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD1433F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-15.8K-R0402-RK73H1ETTP1582F        |        |15.8K  |KOA SPEER                 |RK73H1ETTP1582F    |R0603               |RESISTOR,15.8K,0.063,1%,R0402                                        |NA        |NA               |Yes  |1%        |0.063        |R0402                                                              |0.35mm 
|RES-15.8K-RK73H1ETTP1582F              |        |15.8K  |KOA SPEER                 |RK73H1ETTP1582F    |R0603               |RESISTOR,15.8K,0.063,1%,R0402                                        |NA        |NA               |Yes  |1%        |0.063        |R0402                                                              |0.35mm 
|RES-150K-R0603-RK73H1JTTD1503F         |        |150K   |KOA SPEER                 |RK73H1JTTD1503F    |R0603               |RESISTOR,150K,0.1,1%,R0603                                           |NA        |NA               |Yes  |1%        |0.1          |R0603                                                              |0.45mm 
|RES-15K-R0603-RC0603FR-0715KL          |        |15K    |YAGEO                     |RC0603FR-0715KL    |R0603               |RESISTOR,15K,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD1502F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-15K-R0805-RC0805FR-0715KL          |        |15K    |YAGEO                     |RC0805FR-0715KL    |R0805               |RESISTOR,15K,0.125,1%,R0805                                          |KOA SPEER |RK73H2ATTDD1502F |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-160E-R0603-RC0603JR-07160RL        |        |160E   |YAGEO                     |RC0603JR-07160RL   |R0603               |RESISTOR,160E,0.1,5%,R0603                                           |KOA SPEER |RK73H1JTTD1600F  |Yes  |5%        |0.1          |R0603                                                              |0.55mm 
|RES-16K-R0603-RC0603FR-0716KL          |        |16K    |YAGEO                     |RC0603FR-0716KL    |R0603               |RESISTOR,16K,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD1602F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-180K-R0603-RC0603FR-07180KL        |        |180K   |YAGEO                     |RC0603FR-07180KL   |R0603               |RESISTOR,180K,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD1803F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-18K-R0603-RC0603FR-0718KL          |        |18K    |YAGEO                     |RC0603FR-0718KL    |R0603               |RESISTOR,18K,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD1802F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-1E-R0603-ERJ-3RQF1R0V              |        |1E     |PANASONIC - ECG           |ERJ-3RQF1R0V       |R0603               |RESISTOR,1E,0.1,1%,R0603                                             |KOA SPEER |RK73H1JTTD1R00F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-1K-R0603-RC0603FR-071KL            |        |1K     |YAGEO                     |RC0603FR-071KL     |R0603               |RESISTOR,1K,0.1,1%,R0603                                             |KOA SPEER |RK73H1JTTD1001F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-1K-R0805-RC0805FR-071KL            |        |1K     |YAGEO                     |RC0805FR-071KL     |R0805               |RESISTOR,1K,0.125,1%,R0805                                           |KOA SPEER |RK73H2ATTE1001F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-1M-R0603-RC0603FR-071ML            |        |1M     |YAGEO                     |RC0603FR-071ML     |R0603               |RESISTOR,1M,0.1,1%,R0603                                             |KOA SPEER |RK73H1JTTD1004F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-1M-R1206-CRCW12061M00JNEA          |        |1M     |VISHAY                    |CRCW12061M00JNEA   |R1206               |RESISTOR,1M,0.25,5%,R1206                                            |KOA SPEER |RK73H2BTTE1004F  |Yes  |5%        |0.25         |R1206                                                              |0.70mm 
|RES-2.2K-R0603-RC0603FR-072K2L         |        |2.2K   |YAGEO                     |RC0603FR-072K2L    |R0603               |RESISTOR,2.2K,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD2201F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-2.2K-R0805-RC0805FR-072K2L         |        |2.2K   |YAGEO                     |RC0805FR-072K2L    |R0805               |RESISTOR,2.2K,0.125,1%,R0805                                         |KOA SPEER |RK73H2ATTD2201F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-2.2K-R1210-ERJ-14YJ222U            |        |2.2K   |PANASONIC - ECG           |ERJ-14YJ222U       |R1210               |RESISTOR,2.2K,0.5,5%,R1210                                           |KOA SPEER |RK73H2ETTD2201F  |Yes  |5%        |0.5          |R1210                                                              |0.70mm 
|RES-2.37K-R0603-RC0603FR-072K37L       |        |2.37K  |YAGEO                     |RC0603FR-072K37L   |R0603               |RESISTOR,2.37K,0.1,1%,R0603                                          |KOA SPEER |RK73H1JLTD2371F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-2.7K-R0805-ESR10EZPJ272            |        |2.7K   |ROHM SEMICONDUCTOR        |ESR10EZPJ272       |R0805               |RESISTOR,2.7K,0.25,5%,R0805                                          |NA        |NA               |Yes  |5%        |0.25         |R0805                                                              |0.65mm 
|RES-2.7K-R2512-CRCW25122K70JNEG        |        |2.7K   |VISHAY                    |CRCW25122K70JNEG   |R2512               |RESISTOR,2.7K,1,5%,R2512                                             |VISHAY    |RCA25122K70FKTA  |Yes  |5%        |1            |R2512                                                              |0.70mm 
|RES-200E-R0603-RC0603FR-07200RL        |        |200E   |YAGEO                     |RC0603FR-07200RL   |R0603               |RESISTOR,200E,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD2000F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-200K-R0603-RC0603FR-07200KL        |        |200K   |YAGEO                     |RC0603FR-07200KL   |R0603               |RESISTOR,200K,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD2003F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-20K-R0603-RC0603FR-0720KL          |        |20K    |YAGEO                     |RC0603FR-0720KL    |R0603               |RESISTOR,20K,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD2002F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-20K-R0805-RC0805FR-0720KL          |        |20K    |YAGEO                     |RC0805FR-0720KL    |R0805               |RESISTOR,20K,0.125,1%,R0805                                          |KOA SPEER |RK73H2ATTD2002F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-20K-TRIM_3314G-1-203E-3314G-1-203E |        |20K    |BOURNS                    |3314G-1-203E       |TRIM_3314G-1-203E   |TRIMMER,1 TURN,20K,0.25W,SMD                                         |          |                 |YES  |20%       |0.25         |Square - 0.177" L x 0.177" W x 0.100" H (4.50mm x 4.50mm x 2.54mm) |NA     
|RES-22K-R0603-RC0603FR-0722KL          |        |22K    |YAGEO                     |RC0603FR-0722KL    |R0603               |RESISTOR,22K,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD2202F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-22K-R0805-RC0805JR-0722KL          |        |22K    |YAGEO                     |RC0805JR-0722KL    |R0805               |RESISTOR,22K,0.125,5%,R0805                                          |KOA SPEER |RK73H2ATTD2202F  |Yes  |5%        |0.125        |R0805                                                              |0.60mm 
|RES-249E-R1206-TNPW1206249RBEEA        |        |249E   |VISHAY                    |TNPW1206249RBEEA   |R1206               |RESISTOR,249E,0.25,0.1%,R1206                                        |NA        |NA               |Yes  |0.1%      |0.25         |R1206                                                              |0.70mm 
|RES-24K-R0603-RC0603FR-0724KL          |        |24K    |YAGEO                     |RC0603FR-0724KL    |R0603               |RESISTOR,24K,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD2402F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-24K-R0805-RC0805FR-0724KL          |        |24K    |YAGEO                     |RC0805FR-0724KL    |R0805               |RESISTOR,24K,0.125,1%,R0805                                          |KOA SPEER |RK73H2ATTD2402F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-250E-RS02B250R0BS70-RS02B250R0BS70 |        |250E   |VISHAY                    |RS02B250R0BS70     |RS02B250R0BS70      |RESISTOR,250E,3,0.1%,RS02B250R0BS70                                  |NA        |NA               |Yes  |0.1%      |3            |RS02B250R0BS70                                                     |NA     
|RES-270E-R0805-RC0805FR-07270RL        |        |270E   |YAGEO                     |RC0805FR-07270RL   |R0805               |RESISTOR,270E,0.125,1%,R0805                                         |KOA SPEER |RK73H2ATTD2700F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-27K-R0603-RK73H1JTTD2702F          |        |27K    |KOA SPEER                 |RK73H1JTTD2702F    |R0603               |RESISTOR,27K,0.1,1%,R0603                                            |NA        |NA               |Yes  |1%        |0.1          |R0603                                                              |0.45mm 
|RES-29.4K-R0603-RC0603FR-0729K4L       |        |29.4K  |YAGEO                     |RC0603FR-0729K4L   |R0603               |RESISTOR,29.4K,0.1,1%,R0603                                          |KOA SPEER |RK73H1JTTD2942F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-29.4K-R0805-RC0805FR-0729K4L       |        |29.4K  |YAGEO                     |RC0805FR-0729K4L   |R0805               |RESISTOR,29.4K,0.125,1%,R0805                                        |KOA SPEER |RK73H2ATTD2942F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-2K-R0805-RC0805FR-072KL            |        |2K     |YAGEO                     |RC0805FR-072KL     |R0805               |RESISTOR,2K,0.125,1%,R0805                                           |KOA SPEER |RK73H2ATTE2001F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-2M-R0603-RC0603FR-072ML            |        |2M     |YAGEO                     |RC0603FR-072ML     |R0603               |RESISTOR,2M,0.1,1%,R0603                                             |KOA SPEER |RK73H1JTTD2004F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-3.16K-R0603-RC0603FR-073K16L       |        |3.16K  |YAGEO                     |RC0603FR-073K16L   |R0603               |RESISTOR,3.16K,0.1,1%,R0603                                          |KOA SPEER |RK73H1JTTD3161F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-3.24K-R0603-ERJ-3EKF3241V          |        |3.24K  |PANASONIC - ECG           |ERJ-3EKF3241V      |R0603               |RESISTOR,3.24K,0.1,1%,R0603                                          |KOA SPEER |RK73H1JTTD3241F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-3.24K-R0805-RC0805FR-073K24L       |        |3.24K  |YAGEO                     |RC0805FR-073K24L   |R0805               |RESISTOR,3.24K,0.125,1%,R0805                                        |KOA SPEER |RK73H2ATTD3241F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-3.57K-R0805-RC0805FR-073K57L       |        |3.57K  |YAGEO                     |RC0805FR-073K57L   |R0805               |RESISTOR,3.57K,0.125,1%,R0805                                        |KOA SPEER |RK73H2ATTE3571F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-3.6K-R0805-RC0805FR-073K6L         |        |3.6K   |YAGEO                     |RC0805FR-073K6L    |R0805               |RESISTOR,3.6K,0.125,1%,R0805                                         |KOA SPEER |RK73H2ATTD3601F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-30.1K-R0805-RNCP0805FTD30K1        |        |30.1K  |STACKPOLE ELECTRONICS INC |RNCP0805FTD30K1    |R0805               |RESISTOR,30.1K,0.25,1%,R0805                                         |NA        |NA               |Yes  |1%        |0.25         |R0805                                                              |0.65mm 
|RES-300E-R0603-RC0603FR-07300RL        |        |300E   |YAGEO                     |RC0603FR-07300RL   |R0603               |RESISTOR,300E,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD3000F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-301K-R0805-RC0805FR-07301KL        |        |301K   |YAGEO                     |RC0805FR-07301KL   |R0805               |RESISTOR,301K,0.125,1%,R0805                                         |KOA SPEER |RK73H2ATTD3013F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-330E-R0603-RC0603JR-07330RL        |        |330E   |YAGEO                     |RC0603JR-07330RL   |R0603               |RESISTOR,330E,0.1,5%,R0603                                           |KOA SPEER |RK73H1JTTD3300F  |Yes  |5%        |0.1          |R0603                                                              |0.55mm 
|RES-330E-R0805-RC0805JR-07330RL        |        |330E   |YAGEO                     |RC0805JR-07330RL   |R0805               |RESISTOR,330E,0.125,5%,R0805                                         |KOA SPEER |RK73H2ATTDD3300F |Yes  |5%        |0.125        |R0805                                                              |0.60mm 
|RES-332K-R0805-RC0805FR-07332KL        |        |332K   |YAGEO                     |RC0805FR-07332KL   |R0805               |RESISTOR,332K,0.125,1%,R0805                                         |KOA SPEER |RK73H2ATTD3323F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-33E-R0402-ERJ-2RKF33R0X            |        |33E    |PANASONIC - ECG           |ERJ-2RKF33R0X      |R0402               |RESISTOR,33E,0.1,1%,R0402                                            |NA        |NA               |Yes  |1%        |0.1          |R0402                                                              |0.40mm 
|RES-33E-R0603-RC0603FR-0733RL          |        |33E    |YAGEO                     |RC0603FR-0733RL    |R0603               |RESISTOR,33E,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD33R0F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-33E-R1506-YC248-JR-0733RL          |        |33E    |YAGEO                     |YC248-JR-0733RL    |RP_0402_16P         |RESISTOR,ARRAY,33E,5%,8 RES,R1506
RESISTOR,ARRAY,33E,5%,8 RES,R1506 |          |                 |YES  |5%        |0.0625       |R1506                                                              |0.45mm 
