       PADS LIBRARY (IC Part Types) DIRECTORY LISTING


Library: IC
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Part Name                                |CCC P/N       |VALUE             |MFG #1                     |MFG #1 P/N              |PCB Decal                      |DESCRIPTION                                            |ROHS |DISTRIBUTOR P/N              |Logic Decal                                                                                                                                                               |DISTRIBUTOR |PACKAGE                         
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|IC-ADC-16-QSOP-ADS8341EB                 |              |ADC               |TEXAS INSTRUMENTS          |ADS8341EB               |SOP64P520X175-16_1             |A/D CNVTR,16BIT,4CH.SERIAL,16-QSOP                     |Yes  |ADS8341EB-ND                 |IC_ADS8341                                                                                                                                                                |            |16-QSOP                         
|IC-ADC-48LQFP-AD7610BSTZ                 |40-000400-006 |ADC               |ANALOG DEVICES             |AD7610BSTZ              |QFP50P900X900X160-48N          |A/D CNVTR,16 BIT,PARALLEL,48LQFP                       |Yes  |AD7610BSTZ-ND                |IC_AD7610BSTZ                                                                                                                                                             |            |48LQFP                          
|IC-ANDGATE-SC-70-6-SN74LVC1G11DCKR       |              |ANDGATE           |TEXAS INSTRUMENTS          |SN74LVC1G11DCKR         |SC70_6P                        |74LVC1G08,SNGL 3IN POS-AND GATE,SC70-6                 |Yes  |296-18066-1-ND               |IC_SN74LVC1G11DCKR                                                                                                                                                        |            |SC-70-6                         
|IC-ANDGATE-SC70-5-SN74LVC1G08IDCKR       |              |ANDGATE           |TEXAS INSTRUMENTS          |SN74LVC1G08DCKR         |SOT65P210X110-5N               |74LVC1G08,SNGL 2IN POS-AND GATE,SC70-5                 |Yes  |296-22344-1-ND               |IC_SN74LVC1G08IDCK                                                                                                                                                        |            |SC70-5                          
|IC-ANDGATE-SOT-553-SN74LVC1G08DRLR       |              |ANDGATE           |TEXAS INSTRUMENTS          |SN74LVC1G08DRLR         |SOT_553_5P                     |74LVC1G08,SNGL 2IN POS-AND GATE,SOT553                 |Yes  |296-18011-1-ND               |IC_SN74LVC1G08DRLR                                                                                                                                                        |            |SOT-553                         
|IC-BUFFER-14TSSOP-74LV125PW              |              |BUFFER            |NXP SEMICONDUCTORS         |74LV125PW               |TSSOP_14P_0.65                 |BUFFER,DVR,TRI-ST,QUAD,14TSSOP                         |Yes  |568-4596-5-ND                |IC_74LV125A, IC_74LV125B, IC_74LV125C, IC_74LV125D                                                                                                                        |            |14TSSOP                         
|IC-BUFFER-14TSSOP-MC74LCX125DTR2G        |              |BUFFER            |ON SEMICONDUCTOR           |MC74LCX125DTR2G         |TSSOP65P640X120-14N            |BUFF TRI-ST QD CMOS 14TSSOP                            |Yes  |MC74LCX125DTR2GOSCT-ND       |IC_MC74LCX125                                                                                                                                                             |            |14TSSOP                         
|IC-BUFFER-20-VQFN-SN74LVC541ARGYR        |              |BUFFER            |TEXAS INSTRUMENTS          |SN74LVC541ARGYR         |QFN50P350X450X100-21N          |BUFF/DVR TRI-ST 8BIT 20-VQFN                           |Yes  |296-13974-2-ND               |IC_SN74LVC541A                                                                                                                                                            |            |20-VQFN                         
|IC-BUFFER-48-TFSOP-SN74LVC16244ADGGR     |              |BUFFER            |TEXAS INSTRUMENTS          |SN74LVC16244ADGGR       |48TSSOP                        |BUFF/DVR,TRI-ST,16BIT,48TSSOP                          |Yes  |296-1226-1-ND                |IC_SN74LVC16244ADGGR                                                                                                                                                      |            |48-TFSOP (0.240", 6.10mm Width) 
