Item	Qty	Reference	 Part  Name 	Manufacturer	Description	 MFG  P/N 	 CCC  P/N 	VALUE
85	1	C61	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
86	1	C62	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
87	1	C63	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
88	1	C64	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
89	1	C65	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
90	1	C66	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
91	1	C67	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
92	1	C68	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
93	1	C69	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
94	1	C70	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
95	1	C71	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
96	1	C85	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
97	1	C87	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
98	1	C88	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
99	1	C89	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
100	1	C90	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
101	1	C95	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
102	1	C96	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
103	1	C97	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
104	1	C98	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
105	1	C99	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
106	1	C100	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
107	1	C101	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
108	1	C102	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
109	1	C103	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
110	1	C104	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
111	1	C105	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
112	1	C4	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
113	1	C7	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
114	1	C12	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
115	1	C13	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
116	1	C22	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
117	1	C41	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
118	1	C42	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
119	1	C43	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
120	1	C44	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
121	1	C47	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
122	1	C118	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
123	1	C119	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
124	1	C120	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
125	1	C121	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
126	1	C122	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
127	1	C125	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
128	1	C126	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
129	1	C127	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
130	1	C128	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
131	1	C175	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
132	1	C194	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
133	1	C195	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
134	1	C196	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
135	1	C244	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
136	1	C246	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
137	1	C299	CAP-0.1UF-50V-0603-10%-06035C104KAT2A	AVX	CAP,CER,0.1UF,50V,10%,X7R,0603	06035C104KAT2A		0.1UF
138	1	C35	CAP-1000PF-50V-0603-5%-C0603C102J5GACTU	KEMET	CAP,MLCC,1000PF,50V,5%,NP0,0603	C0603C102J5GACTU		1000PF
139	1	C219	CAP-1000PF-50V-0603-5%-C0603C102J5GACTU	KEMET	CAP,MLCC,1000PF,50V,5%,NP0,0603	C0603C102J5GACTU		1000PF
140	1	C14	CAP-100UF-20V-2917-10%-TPSE107K020R0150	AVX	CAP,TANT,100UF,20V,10%,2917	TPSE107K020R0150		100UF
141	1	C18	CAP-100UF-20V-2917-10%-TPSE107K020R0150	AVX	CAP,TANT,100UF,20V,10%,2917	TPSE107K020R0150		100UF
142	1	C19	CAP-100UF-20V-2917-10%-TPSE107K020R0150	AVX	CAP,TANT,100UF,20V,10%,2917	TPSE107K020R0150		100UF
143	1	C21	CAP-100UF-20V-2917-10%-TPSE107K020R0150	AVX	CAP,TANT,100UF,20V,10%,2917	TPSE107K020R0150		100UF
144	1	C23	CAP-100UF-20V-2917-10%-TPSE107K020R0150	AVX	CAP,TANT,100UF,20V,10%,2917	TPSE107K020R0150		100UF
145	1	C29	CAP-100UF-20V-2917-10%-TPSE107K020R0150	AVX	CAP,TANT,100UF,20V,10%,2917	TPSE107K020R0150		100UF
146	1	C174	CAP-100UF-20V-2917-10%-TPSE107K020R0150	AVX	CAP,TANT,100UF,20V,10%,2917	TPSE107K020R0150		100UF
147	1	C33	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
148	1	C48	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
149	1	C129	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
150	1	C130	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
151	1	C166	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
152	1	C169	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
153	1	C172	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
154	1	C177	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
155	1	C179	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
156	1	C181	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
157	1	C185	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
158	1	C197	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
159	1	C198	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
160	1	C199	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
161	1	C200	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
162	1	C201	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
163	1	C202	CAP-10UF-16V-1206-10%-TAJA106K016RNJ	AVX	CAP,TANT,10UF,16V,10%,1206	TAJA106K016RNJ		10UF
164	1	C1	CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L	MURATA	CAP,CER,10UF,25V,10%,X5R,0805	GRM21BR61E106KA73L		10UF
165	1	C2	CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L	MURATA	CAP,CER,10UF,25V,10%,X5R,0805	GRM21BR61E106KA73L		10UF
166	1	C31	CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L	MURATA	CAP,CER,10UF,25V,10%,X5R,0805	GRM21BR61E106KA73L		10UF
167	1	C39	CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L	MURATA	CAP,CER,10UF,25V,10%,X5R,0805	GRM21BR61E106KA73L		10UF
168	1	C49	CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L	MURATA	CAP,CER,10UF,25V,10%,X5R,0805	GRM21BR61E106KA73L		10UF
169	1	C50	CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L	MURATA	CAP,CER,10UF,25V,10%,X5R,0805	GRM21BR61E106KA73L		10UF
170	1	C82	CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L	MURATA	CAP,CER,10UF,25V,10%,X5R,0805	GRM21BR61E106KA73L		10UF
171	1	C84	CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L	MURATA	CAP,CER,10UF,25V,10%,X5R,0805	GRM21BR61E106KA73L		10UF
172	1	C116	CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L	MURATA	CAP,CER,10UF,25V,10%,X5R,0805	GRM21BR61E106KA73L		10UF
173	1	C298	CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L	MURATA	CAP,CER,10UF,25V,10%,X5R,0805	GRM21BR61E106KA73L		10UF
174	1	C37	CAP-12PF-50V-0603-5%-06035A120JAT2A	AVX	CAP,CER,12PF,50V,5%,NP0,0603	06035A120JAT2A		12PF
175	1	C38	CAP-12PF-50V-0603-5%-06035A120JAT2A	AVX	CAP,CER,12PF,50V,5%,NP0,0603	06035A120JAT2A		12PF
176	1	C45	CAP-12PF-50V-0603-5%-06035A120JAT2A	AVX	CAP,CER,12PF,50V,5%,NP0,0603	06035A120JAT2A		12PF
177	1	C46	CAP-12PF-50V-0603-5%-06035A120JAT2A	AVX	CAP,CER,12PF,50V,5%,NP0,0603	06035A120JAT2A		12PF
178	1	C5	CAP-15PF-50V-0603-0.5%-C0603C150D5GACTU	KEMET	CAP,MLCC,15PF,50V,0.5%,NP0,0603	C0603C150D5GACTU		15PF
179	1	C6	CAP-15PF-50V-0603-0.5%-C0603C150D5GACTU	KEMET	CAP,MLCC,15PF,50V,0.5%,NP0,0603	C0603C150D5GACTU		15PF
180	1	C3	CAP-1UF-50V-0603-10%-UMK107BJ105KA-T	 TAIYO  YUDEN 	CAP,CER,1UF,50V,10%,X5R,0603	UMK107BJ105KA-T		1UF
181	1	C153	CAP-1UF-50V-0603-10%-UMK107BJ105KA-T	 TAIYO  YUDEN 	CAP,CER,1UF,50V,10%,X5R,0603	UMK107BJ105KA-T		1UF
182	1	C191	CAP-1UF-50V-0603-10%-UMK107BJ105KA-T	 TAIYO  YUDEN 	CAP,CER,1UF,50V,10%,X5R,0603	UMK107BJ105KA-T		1UF
183	1	C193	CAP-1UF-50V-0603-10%-UMK107BJ105KA-T	 TAIYO  YUDEN 	CAP,CER,1UF,50V,10%,X5R,0603	UMK107BJ105KA-T		1UF
184	1	C216	CAP-1UF-50V-0603-10%-UMK107BJ105KA-T	 TAIYO  YUDEN 	CAP,CER,1UF,50V,10%,X5R,0603	UMK107BJ105KA-T		1UF
185	1	C124	CAP-1UF-50V-0805-10%-C0805C103K5RACTU	KEMET	CAP,CER,1UF,50V,10%,X7R,0805	C0805C103K5RACTU		1UF
186	1	C25	CAP-2200PF-50V-0603-10%-GRM188R61H222KA#	MURATA	CAP,CER,2200PF,50V,10%,X5R,0603	GRM188R61H222KA01D		2200PF
187	1	C27	CAP-2200PF-50V-0603-10%-GRM188R61H222KA#	MURATA	CAP,CER,2200PF,50V,10%,X5R,0603	GRM188R61H222KA01D		2200PF
188	1	C52	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
189	1	C57	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
190	1	C58	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
191	1	C59	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
192	1	C60	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
193	1	C72	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
194	1	C73	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
195	1	C74	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
196	1	C75	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
197	1	C76	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
198	1	C77	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
199	1	C78	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
200	1	C79	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
201	1	C80	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
202	1	C81	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
203	1	C83	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
204	1	C86	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
205	1	C91	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
206	1	C92	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
207	1	C93	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
208	1	C94	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
209	1	C106	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
210	1	C107	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
211	1	C108	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
212	1	C109	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
213	1	C110	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
214	1	C111	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
215	1	C112	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
216	1	C113	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
217	1	C114	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
218	1	C115	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
219	1	C117	CAP-220PF-10V-01005-10%-C0402X5R1A221K	TDK	CAP,CER,220PF,10V,10%,X7R,01005	C0402X5R1A221K		220PF
220	1	C15	CAP-22UF-25V-2312-10%-TPSC226K025R0275	AVX	CAP,TANT,22UF,25V,10%,2312	TPSC226K025R0275		22UF
221	1	C151	CAP-22UF-25V-2312-10%-TPSC226K025R0275	AVX	CAP,TANT,22UF,25V,10%,2312	TPSC226K025R0275		22UF
222	1	C26	CAP-39PF-50V-0402-5%-04025A390JAT2A	AVX	CAP,CER,39PF,50V,5%,NP0,0402	04025A390JAT2A		39PF
223	1	C220	CAP-47PF-50V-0603-5%-06035A470JAT2A	AVX	CAP,CER,47PF,50V,5%,NP0,0603	06035A470JAT2A		47PF
224	1	C243	CAP-47UF-10V-1411-20%-T520B476M010ATE035	KEMET	CAP,TANT,47UF,10V,20%,1411	T520B476M010ATE035		47UF
225	1	C248	CAP-47UF-10V-1411-20%-T520B476M010ATE035	KEMET	CAP,TANT,47UF,10V,20%,1411	T520B476M010ATE035		47UF
226	1	C250	CAP-47UF-10V-1411-20%-T520B476M010ATE035	KEMET	CAP,TANT,47UF,10V,20%,1411	T520B476M010ATE035		47UF
227	1	C251	CAP-47UF-10V-1411-20%-T520B476M010ATE035	KEMET	CAP,TANT,47UF,10V,20%,1411	T520B476M010ATE035		47UF
228	1	C210	CAP-6800PF-50V-0603-5%-C0603C682J5GACTU	KEMET	CAP,CER,6800PF,50V,5%,C0G,0603	C0603C682J5GACTU		6800PF
229	1	J2	CON-SMT-2X19-5767054-1	 TE  CONNECTIVITY 	 RECEPTACLE,2  x  19,0.64mm,SMT 	5767054-1		CONNECTOR
230	1	J4	CON-SMT-2X19-5767054-1	 TE  CONNECTIVITY 	 RECEPTACLE,2  x  19,0.64mm,SMT 	5767054-1		CONNECTOR
231	1	J5	CON-SMT-2X40-QSE-040-01-L-D-A	SAMTEC	 RECEPTACLE,2  x  40,0.80mm,SMT 	QSE-040-01-L-D-A		Receptacle
232	1	J6	CON-SMT-2X40-QSE-040-01-L-D-A	SAMTEC	 RECEPTACLE,2  x  40,0.80mm,SMT 	QSE-040-01-L-D-A		Receptacle
233	1	J1	CON-TH_RA-1X6-640453-6	 TE  CONNECTIVITY 	HEADER,1X6,2.54mm,	640453-6		HEADER
234	1	J7	CON-TH_RA-2X5-68021-210HLF	FCI	 HEADER,2  x  5,2.54mm,TH,RA 	68021-210HLF		HEADER
235	1	J3	CON-TH_RA-2X7-68021-214HLF	FCI	 HEADER,2  X  7,2.54mm,TH,RA,GOLD 	68021-214HLF		HEADER
236	1	D1	DIO-DO-214AB-SS36-E3/57T	VISHAY	DIODE,SCHOTTKY,60V,3A,DO-214AB	SS36-E3/57T		SS36-E3/57T
237	1	D13	DIO-DO-214AC-B240A-13-F	 DIODE/  ZETEX 	DIODE,SCHOTTKY,40V,2A,DO-214AC	B240A-13-F		B240A-13-F
238	1	D2	DIO-SMB-SMBJ40A	 BOURNS  INC 	TVS,DIODE,UNI,40V,600W,SMB	SMBJ40A		SMBJ40A
239	1	FB1	FBD-0805-BLM21PG331SN1D	MURATA	 FERRITE  BEAD,0805,Z=120E 	BLM21PG331SN1D		120E
240	1	FB2	FBD-0805-BLM21PG331SN1D	MURATA	 FERRITE  BEAD,0805,Z=120E 	BLM21PG331SN1D		120E
241	1	FB7	FBD-0805-BLM21PG331SN1D	MURATA	 FERRITE  BEAD,0805,Z=120E 	BLM21PG331SN1D		120E
242	1	FB8	FBD-0805-BLM21PG331SN1D	MURATA	 FERRITE  BEAD,0805,Z=120E 	BLM21PG331SN1D		120E
243	1	FB9	FBD-0805-BLM21PG331SN1D	MURATA	 FERRITE  BEAD,0805,Z=120E 	BLM21PG331SN1D		120E
244	1	U8	IC-ANDGATE-SC-70-6-SN74LVC1G11DCKR	 TEXAS  INSTRUMENTS 	 74LVC1G08,SNGL  3IN  POS-AND  GATE,SC70-6 	SN74LVC1G11DCKR		ANDGATE
245	1	U22	IC-ANDGATE-SOT-553-SN74LVC1G08DRLR	 TEXAS  INSTRUMENTS 	 74LVC1G08,SNGL  2IN  POS-AND  GATE,SOT553 	SN74LVC1G08DRLR		ANDGATE
246	1	U3	IC-BUFFER-14TSSOP-74LV125PW	 NXP  SEMICONDUCTORS 	BUFFER,DVR,TRI-ST,QUAD,14TSSOP	74LV125PW		BUFFER
247	1	U4	IC-BUFFER-14TSSOP-74LV125PW	 NXP  SEMICONDUCTORS 	BUFFER,DVR,TRI-ST,QUAD,14TSSOP	74LV125PW		BUFFER
248	1	U30	IC-BUFFER-SOT-553-SN74LVC1G07DRLR	 TEXAS  INSTRUMENTS 	BUFFER,,NON-INVERT,SOT553	SN74LVC1G07DRLR		BUFFER
249	1	U97	IC-BUFFER-SOT-553-SN74LVC1G125DRLR	 TEXAS  INSTRUMENTS 	BUFFER,TRI-ST,N-INV,SOT5	SN74LVC1G125DRLR		BUFFER
250	1	U98	IC-BUFFER-SOT-553-SN74LVC1G125DRLR	 TEXAS  INSTRUMENTS 	BUFFER,TRI-ST,N-INV,SOT5	SN74LVC1G125DRLR		BUFFER
251	1	U9	IC-CPLD-44-TQFP-EPM3064ATI44-10N	ALTERA	CPLD,MAX,3000A,64,44-TQFP	EPM3064ATI44-10N		CPLD
252	1	U23	IC-DCCONV-8-SOIC-TPS54231DR	 TEXAS  INSTRUMENTS 	DC/DC,CONVERTERBUCK,STEPDOWN,CONVTR,2A,8SOIC	TPS54231DR		DCCONV
253	1	U16	IC-EEPROM-8-SOIC-24LC16B-I/SN	 MICROCHIP  TECHNOLOGY 	EEPROM,16KBIT,400KHZ,8SOIC	24LC16B-I/SN		EEPROM
254	1	U17	IC-EEPROM-8-SOIC-24LC16B-I/SN	 MICROCHIP  TECHNOLOGY 	EEPROM,16KBIT,400KHZ,8SOIC	24LC16B-I/SN		EEPROM
